# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     2.850         0         1          5735
     3.260         2         1          5758
     2.830         1         0          5769
     2.660         1         0          5779
     2.930         0         2          5783
     3.130         2         2          5808
     3.970         1         0          5802
     3.360         1         0          5712
     2.620         1         0          5845
     3.000         0         1          5860
     3.270         1         1          5896
     3.360         1         0          5919
     2.690         0         1          5942
     3.130         0         1          5983
     3.660         2         0          5986
     3.670         2         0          5989
     3.910         1         0          6014
     3.820         1         0          6030
     3.170         2         3          6090
     3.100         1         0          6096
     2.540         2         0          6105
     2.730         1         0          6116
     2.550         1         0          6119
     2.560         0         1          6159
     4.010         2         0          6198
     4.290         1         0          6219
     2.660         1         0          6229
     3.620         1         0          6287
     3.480         0         1          6361
     3.240         1         0          6369
     2.460         1         0          6377
     3.820         0         1          6459
     4.030         1         0          6482
     4.230         1         0          6497
     3.980         1         0          6514
     3.420         6         2          6530
     3.860         1         0          6574
     4.240         1         0          6592
     3.130         0         2          6608
     2.680         0         1          6651
     2.530         4         1          6664
     3.060         1         0          6707
     3.600         1         0          6751
     2.900         1         0          6779
     4.200         1         0          6798
     3.840         3         0          6830
     3.760         1         0          6858
     2.910         1         0          6883
     4.280         0         1          6935
     3.810         1         0          6956
     3.060         1         0          6981
     3.600         3         1          6998
     2.780         2         1          7005
     2.570         0         1          7014
     2.640         0         1          7019
     3.300         1         0          7021
     3.930         2         0          7043
     3.660         1         0          7059
     2.460         0         1          7075
     2.510         0         1          7214
     2.400         1         0          7228
     4.250         4         0          7312
     3.920         1         0          7357
     3.570         1         0          7401
     3.350         0         4          7424
     3.240         5         3          7430
     3.870         2         3          7452
     3.210         1         0          7475
     3.970         9         0          7517
     4.200         3         0          7572
     2.620         0         1          7636
     3.640         1         0          7671
     2.710         5         2          7853
     2.820         1         4          8035
     2.860         0         1          8045
     3.100         1         0          8067
     4.230         3         0          8163
     3.870         1         0          8206
     3.740        18         6          8267
     2.620         1         0          8293
     2.840         2         0          8295
     2.720         1         0          8298
     4.520         1         0          8310
     3.090         3         1          8317
     2.560         1         0          8329
     4.600         1         0          8398
     3.550         1         0          8433
     3.170         1         0          8472
     3.630         2         0          8489
     2.650         0         1          8549
     3.670         2         0          8558
     3.810         0         1          8681
     2.740         1         0          8716
     3.610         0         1          8724
     2.790         0         1          8742
     3.030         1         0          8892
     4.210         1         0          8960
     2.770         2         1          9012
     2.710         0         1          9021
     2.780         0         1          9032
     2.900         0         1          9041
     2.900         2         1          9106
     2.790         0         1          9112
     2.750         1         0          9095
     2.600         0         1          9132
     2.600         1         0          9145
     4.260         4         0          9184
     3.930         0         1          9259
     3.280         1         0          9322
