id,latitude,longitude,time,magnitude,is_background,gen_0_parent,generation
1,19.431004360661166,-155.22160066693502,2020-01-01 06:22:24.064293000,3.0,True,1,0
2,19.758479640752423,-155.57745241955377,2020-01-03 17:56:21.054910000,2.7,True,2,0
3,19.766376802832568,-155.6633438205369,2020-01-03 20:06:46.201686000,2.8,True,3,0
4,19.937254837191663,-155.52553824291834,2020-01-04 16:54:43.658777000,2.6,True,4,0
5,19.015066095000975,-155.78594592511715,2020-01-10 09:42:13.854014000,2.9,True,5,0
6,19.91384109185004,-155.25787398970527,2020-01-21 15:54:55.841592000,2.6,True,6,0
7,19.47580805126146,-155.41863937696706,2020-01-28 10:36:29.578916000,2.5,True,7,0
8,19.29734971267567,-155.3541007277543,2020-01-31 01:03:51.991809000,2.5,True,8,0
9,19.6159216319962,-155.6041186989361,2020-02-02 00:20:35.478566000,2.5,True,9,0
10,19.676458971305255,-155.38391632489675,2020-02-02 07:23:57.919238000,2.7,True,10,0
11,19.85787859124051,-155.70641366799578,2020-02-05 10:02:30.182589000,3.1,True,11,0
12,19.836853188819266,-155.63443606840457,2020-02-15 16:36:36.148792000,3.0,True,12,0
13,19.86933758859311,-155.49873534029385,2020-03-02 14:30:53.044204000,2.5,True,13,0
14,19.957875034694425,-155.8403105886277,2020-03-05 05:39:34.153962000,2.7,True,14,0
15,19.577618083319198,-155.45484591384192,2020-03-09 06:56:01.337643000,2.5,True,15,0
16,19.830594378051764,-155.48138917681294,2020-03-11 08:54:55.722817000,3.9,True,16,0
17,19.664275399535164,-155.48898879465497,2020-03-16 10:07:58.613853000,2.8,True,17,0
18,19.046583110391957,-155.78598719300226,2020-03-18 02:41:11.971595000,2.5,True,18,0
19,19.357607385107872,-155.24957975540073,2020-03-28 15:59:45.788221000,3.0,True,19,0
20,19.738161663649606,-155.46139241691333,2020-03-30 16:23:54.411047000,3.7,True,20,0
21,19.73750140665357,-155.3139560446312,2020-04-05 07:49:06.913896000,2.5,True,21,0
22,20.09431616483067,-155.695903936887,2020-04-13 03:36:20.129631000,3.1,True,22,0
23,19.37438972669242,-155.65534575689313,2020-04-17 12:40:53.001277000,3.1,True,23,0
24,19.623707558532388,-155.9035915801422,2020-04-18 20:52:38.228462000,3.5,True,24,0
25,19.372933969048887,-155.59991765136263,2020-04-26 12:58:48.437940000,2.8,True,25,0
26,19.653720416146854,-154.99387545082317,2020-04-28 18:32:45.368688000,3.4,True,26,0
27,19.41079847502853,-155.1077074480425,2020-04-28 21:27:21.363614000,2.7,True,27,0
28,20.04761637051568,-155.57781255109498,2020-05-09 09:30:45.793557000,3.3,True,28,0
29,19.096430683337527,-155.6999329890002,2020-05-12 17:48:51.481426000,3.0,True,29,0
30,19.643952579844253,-155.59931840840565,2020-05-24 03:12:32.681043000,4.5,True,30,0
31,20.093842986680247,-155.79265566277533,2020-06-06 03:48:56.890473000,3.4,True,31,0
32,19.336625537729965,-155.4600257299425,2020-06-08 11:55:17.347693000,2.6,True,32,0
33,20.02364744201591,-155.54396551103346,2020-06-17 16:44:15.870729000,3.5,True,33,0
34,20.08190456760947,-155.72863502414305,2020-06-24 19:03:08.663723000,2.9,True,34,0
35,19.72009596957204,-155.99066685749602,2020-06-25 14:07:54.879314000,3.1,True,35,0
36,19.8273001980209,-155.36844642032452,2020-06-30 10:12:52.658434000,3.3,True,36,0
37,19.830254065393635,-155.1676877602807,2020-07-02 17:22:20.659115000,2.8,True,37,0
38,19.972724958922594,-155.77912597448113,2020-07-09 18:35:10.405429000,2.8,True,38,0
39,19.636224418752857,-155.87842676785039,2020-07-13 05:32:17.777818000,2.5,True,39,0
40,19.022346206965146,-155.6233699902263,2020-07-13 12:08:08.859244000,3.9,True,40,0
41,19.28826990221706,-155.777017444042,2020-07-19 19:24:24.935769000,2.5,True,41,0
42,20.150566125691903,-155.63948888061637,2020-07-29 21:33:21.744674000,2.8,True,42,0
43,19.758025292121182,-155.55718982797396,2020-08-10 05:02:13.158032000,2.5,True,43,0
44,19.423703559936946,-155.33091536970883,2020-08-12 06:39:03.384545000,2.9,True,44,0
45,19.871175420590898,-155.17163678391125,2020-08-21 02:16:27.043166000,2.5,True,45,0
46,18.978510127200504,-155.65353656952348,2020-08-21 07:30:54.408154000,2.5,True,46,0
47,19.477898790533782,-154.9599248427932,2020-08-28 12:22:34.737384000,2.9,True,47,0
48,19.394513700335146,-155.84911100145678,2020-08-30 01:05:15.963665000,3.2,True,48,0
49,19.51998520120554,-155.18050429504146,2020-09-23 19:56:42.555651000,2.5,True,49,0
50,19.417031691580434,-155.56432191828247,2020-09-25 12:57:41.495395000,2.5,True,50,0
51,19.730145678796923,-155.7568386416049,2020-10-02 08:17:25.538070000,2.6,True,51,0
52,20.19862810568797,-155.87216694554976,2020-10-02 18:04:22.279049000,2.7,True,52,0
53,20.2355518696834,-155.83361293878357,2020-10-15 20:10:04.660423000,2.5,True,53,0
54,19.499023337378173,-155.87623515657998,2020-10-18 17:53:42.410888000,2.8,True,54,0
